"","Policy","IdOrig","Dbase","SciName","CommName","MSY","SpeciesCat","SpeciesCatName","BvBmsy","FvFmsy","current_b","current_f","b_mey","f_mey","current_b_mey","current_f_mey"
"152","Historic","IFOP-PANCHNCH-1984-2012-CHING","RAM","Engraulis ringens","Peruvian Anchoveta North Chile",857977.21875,35,"Herrings, sardines, anchovies",1.88,0.447,1.88,0.447,1.30375921260357,0.72802318593302,1.4419840579655,0.613991434115019
"153","Historic","IFOP-PANCHSCH-1984-2012-CHING","RAM","Engraulis ringens","Peruvian Anchoveta South Chile",66969.8297175,35,"Herrings, sardines, anchovies",1.71,0.385,1.71,0.385,1.2970607616839,0.733434987767216,1.31836537694657,0.524927234753347
"154","Historic","IFOP-PATGRENADIERCH-1977-2012-CHING","RAM","Macruronus magellanicus","Patagonian grenadier Chile",106794.444444444,32,"Cods, hakes, haddocks",0.0655,2.9,0.0655,2.9,1.23583097172769,0.783985397030604,0.0530007755902341,3.69904849118866
"155","Historic","IFOP-PCEELCH-1978-2011-CHING","RAM","Genypterus blacodes","Pink Cusk-eel Chile",7937.361956,34,"Miscellaneous demersal fishes",0.128,2.76,0.128,2.76,1.2939858747029,0.735926848563103,0.0989191632631918,3.75037275157021
"156","Historic","IFOP-PTOOTHFISHCH-1989-2011-CHING","RAM","Dissostichus eleginoides","Patagonian Toothfish Chile",5300.030966,34,"Miscellaneous demersal fishes",0.377,2.22,0.377,2.22,1.36728482359837,0.677791188244896,0.275728943591889,3.2753450303014
"157","Historic","IFOP-SBREAMCH-1989-2011-CHING","RAM","Epigonus crassicaudus","Deepwater Cardinalfish Chile",1866.726817,34,"Miscellaneous demersal fishes",0.152,0.314,0.152,0.314,1.37038394061621,0.675389474871783,0.110917820542797,0.464916928205922
"158","Historic","IFOP-SOUTHHAKECH-1977-2011-CHING","RAM","Merluccius australis","South Hake Chile",9200.061024,32,"Cods, hakes, haddocks",1.13,1.2,1.13,1.2,1.22711039602474,0.791349538800743,0.920862543142547,1.51639691585409
"159","Historic","IFOP-SPHAKECH-1968-2012-CHING","RAM","Merluccius gayi","South Pacific Hake Chile",58430.68504,32,"Cods, hakes, haddocks",0.271,2.85,0.271,2.85,1.23390260647782,0.78561017428884,0.219628355250477,3.62775342437477
"160","Historic","IFOP-YNOSESKACH-1979-2011-CHING","RAM","Zearaja chilensis","Yellownose Skate Chile",292.9162387,38,"Sharks, rays, chimaeras",0.519,0.678,0.519,0.678,1.35751969445359,0.685387860864287,0.382314895408499,0.989220904999732
"161","Historic","IFREMER-ANCHMEDGSA7-1993-2012-BANOBI","RAM","Engraulis encrasicolus","Anchovy Gulf of Lions",10034.8701525,35,"Herrings, sardines, anchovies",1.49,0.0886,1.49,0.0886,1.37112044126092,0.674819359865178,1.08670249174445,0.131294395610851
"162","Historic","IFREMER-SARDMEDGSA7-1993-2012-BANOBI","RAM","Sardina pilchardus","Sardine Gulf of Lions",21366.5574675,35,"Herrings, sardines, anchovies",0.731,0.0375,0.731,0.0375,1.37031306453084,0.675444352195921,0.533454740322626,0.0555190074179829
"163","Historic","IMARPE-PANCHPERUNC-1959-2008-HIVELY","RAM","Engraulis ringens","Peruvian anchoveta North-Central Peru",3700445.3415,35,"Herrings, sardines, anchovies",1.47,0.843,1.47,0.843,1.30240809554529,0.729112957570132,1.12867848797005,1.15619944927246
