"","idorig","commname","sciname","country","g","phi","k","msy","marginalcost","speciescat","speciescatname","regionfao","policy","beta","fvfmsy","bvbmsy","catch","price","idoriglumped","lumpedcatch2012","fmeyvfmsy","bmeyvbmsy","fcsvfmsy","bcsvbmsy"
"474","1136-FAO-41-37","American harvestfish","Peprilus paru","Brazil",0.0402206452698836,0.188,0,0,6476390.43754271,37,"Miscellaneous pelagic fishes","41","Historic",1.3,3.02070863979857,0.52365986258477,0,1666.62523,"Lumped-American harvestfish-FaoRegion41",444,NA,NA,NA,NA
"475","275-FAO-41-37","American harvestfish","Peprilus paru","Argentina",0.0402206452698836,0.188,17447.5962097962,280.688645605027,6476390.43754271,37,"Miscellaneous pelagic fishes","41","Historic",1.3,3.02070863979857,0.52365986258477,444,1666.62523,"Lumped-American harvestfish-FaoRegion41",444,0.797622624685031,1.19248971123941,0.797622624685031,1.19248971123941
"476","1147-FAO-41-37","Atlantic bumper","Chloroscombrus chrysurus","Brazil",0.108993251483007,0.188,46892.2713508352,2044.28333091815,7694584.92765676,37,"Miscellaneous pelagic fishes","41","Historic",1.3,1.98219588292393,0.745279689265953,3020,993.59553552,"Lumped-Atlantic bumper-FaoRegion41",3020,0.808584051003431,1.20689653711298,0.808584051003431,1.20689653711298
"477","1148-FAO-41-37","Atlantic moonfish","Selene setapinnis","Brazil",0.10741206085133,0.188,25664.2957184796,1102.61173256399,4229774.81174332,37,"Miscellaneous pelagic fishes","41","Historic",1.3,1.83899870953982,0.936528354925486,1899,993.59553552,"Lumped-Atlantic moonfish-FaoRegion41",1899,0.808584130519475,1.20689646262582,0.808584130519475,1.20689646262582
"478","1154-FAO-41-37","Ballyhoo halfbeak","Hemiramphus brasiliensis","Brazil",0.110190366611787,0.188,20550.9134730483,905.763817689376,3361180.63632843,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.55742407534441,0.528832784976565,1225,993.59553552,"Lumped-Ballyhoo halfbeak-FaoRegion41",1225,0.808583968314174,1.20689662995293,0.808583968314174,1.20689662995293
"479","1158-FAO-41-37","Bigeye scad","Selar crumenophthalmus","Brazil",0.109758972049547,0.188,7297.44228202325,320.369312320203,1194930.01459689,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.20364448871758,0.981614113470946,693,993.59553552,"Lumped-Bigeye scad-FaoRegion41",693,0.80858405190127,1.20689655547504,0.80858405190127,1.20689655547504
"480","1167-FAO-41-37","Blue runner","Caranx crysos","Brazil",0.11321604298774,0.188,25083.4211176185,1135.88653291631,4069285.75866355,37,"Miscellaneous pelagic fishes","41","Historic",1.3,1.28560199108985,1.20317908673007,1757,993.59553552,"Lumped-Blue runner-FaoRegion41",1757,0.808583795902317,1.20689686321123,0.808583795902317,1.20689686321123
"481","1169-FAO-41-37","Bluefish","Pomatomus saltatrix","Brazil",0.0347285238000959,0.188,337648.627546077,4690.20171686212,83643542.2754483,37,"Miscellaneous pelagic fishes","41","Historic",1.3,3.17359684185065,0.269872452098706,4017,993.59553552,"Lumped-Bluefish-FaoRegion41",4303,0.687034787823984,1.13750827352632,0.687034787823984,1.13750827352632
"482","17344-FAO-41-37","Bluefish","Pomatomus saltatrix","Uruguay",0.0347285238000959,0.188,12608.238519271,175.138226917928,83643542.2754483,37,"Miscellaneous pelagic fishes","41","Historic",1.3,3.17359684185065,0.269872452098706,150,993.59553552,"Lumped-Bluefish-FaoRegion41",4303,0.687034787823984,1.13750827352632,0.687034787823984,1.13750827352632
"483","307-FAO-41-37","Bluefish","Pomatomus saltatrix","Argentina",0.0347285238000959,0.188,11431.4695908057,158.791992405588,83643542.2754483,37,"Miscellaneous pelagic fishes","41","Historic",1.3,3.17359684185065,0.269872452098706,136,993.59553552,"Lumped-Bluefish-FaoRegion41",4303,0.687034787823984,1.13750827352632,0.687034787823984,1.13750827352632
"484","1179-FAO-41-37","Chub mackerel","Scomber japonicus","Brazil",0.0465979160858496,0.188,131688.586866983,2454.45368588249,167470157.259117,37,"Miscellaneous pelagic fishes","41","Historic",1.3,8.88043192087921,0.250176531354809,5453,1239.82641964,"Lumped-Chub mackerel-FaoRegion41",26247,0.762402273950181,1.18025858544374,0.762402273950181,1.18025858544374
"485","17350-FAO-41-37","Chub mackerel","Scomber japonicus","Uruguay",0.0465979160858496,0.188,0,0,167470157.259117,37,"Miscellaneous pelagic fishes","41","Historic",1.3,8.88043192087921,0.250176531354809,0,1239.82641964,"Lumped-Chub mackerel-FaoRegion41",26247,0.762402273950181,1.18025858544374,0.762402273950181,1.18025858544374
"486","319-FAO-41-37","Chub mackerel","Scomber japonicus","Argentina",0.0465979160858496,0.188,502169.901946092,9359.6020436898,167470157.259117,37,"Miscellaneous pelagic fishes","41","Historic",1.3,8.88043192087921,0.250176531354809,20794,1239.82641964,"Lumped-Chub mackerel-FaoRegion41",26247,0.762402273950181,1.18025858544374,0.762402273950181,1.18025858544374
"487","1181-FAO-41-37","Cobia","Rachycentron canadum","Brazil",0.10815037518799,0.188,15753.8944517156,681.484796098669,2591094.98011305,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.54877872136755,0.570539018365668,991,993.59553552,"Lumped-Cobia-FaoRegion41",991,0.808584008054097,1.20689651539502,0.808584008054097,1.20689651539502
"488","1182-FAO-41-37","Common dolphinfish","Coryphaena hippurus","Brazil",0.108090404541028,0.188,81290.8469553919,3514.54412299565,19024374.6350896,37,"Miscellaneous pelagic fishes","41","Historic",1.3,0.789634446363335,0.230973919497921,641,1413.5484696,"Lumped-Common dolphinfish-FaoRegion41",641,0.80858373701002,1.20689638522587,0.80858373701002,1.20689638522587
"489","17352-FAO-41-37","Common dolphinfish","Coryphaena hippurus","Uruguay",0.108090404541028,0.188,0,0,19024374.6350896,37,"Miscellaneous pelagic fishes","41","Historic",1.3,0.789634446363335,0.230973919497921,0,1413.5484696,"Lumped-Common dolphinfish-FaoRegion41",641,0.80858373701002,1.20689638522587,0.80858373701002,1.20689638522587
"490","1229-FAO-41-37","Rough scad","Trachurus lathami","Brazil",0.0410615391270437,0.188,41343.6269760371,679.022252711558,3388891.82549656,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.19846998797091,1.12807386783711,1684,353.1318655,"Lumped-Rough scad-FaoRegion41",1766,0.811733880956504,1.20169382199296,0.811733880956504,1.20169382199296
"491","378-FAO-41-37","Rough scad","Trachurus lathami","Argentina",0.0410615391270437,0.188,2013.16948458138,33.0640289325106,3388891.82549656,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.19846998797091,1.12807386783711,82,353.1318655,"Lumped-Rough scad-FaoRegion41",1766,0.811733880956504,1.20169382199296,0.811733880956504,1.20169382199296
"492","1267-FAO-41-37","Yellowtail amberjack","Seriola lalandi","Brazil",0.0131492456839735,0.188,16923.9262001377,89.0106909124744,22420417.4354598,37,"Miscellaneous pelagic fishes","41","Historic",1.3,10.5903197374464,0.395692289288264,373,4219.29247546,"Lumped-Yellowtail amberjack-FaoRegion41",376,0.123722841541873,0.748043093565001,0.123722841541873,0.748043093565001
"493","411-FAO-41-37","Yellowtail amberjack","Seriola lalandi","Argentina",0.0131492456839735,0.188,136.117368901912,0.715903680261188,22420417.4354598,37,"Miscellaneous pelagic fishes","41","Historic",1.3,10.5903197374464,0.395692289288264,3,4219.29247546,"Lumped-Yellowtail amberjack-FaoRegion41",376,0.123722841541873,0.748043093565001,0.123722841541873,0.748043093565001
"494","17385-FAO-41-37","Parona leatherjacket","Parona signata","Uruguay",0.040722175762787,0.188,14607.6680183335,237.931571846547,11826284.9167561,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.79647591475078,0.554578730475892,369,993.59553552,"Lumped-Parona leatherjacket-FaoRegion41",1355,0.799963661173614,1.1950969454073,0.799963661173614,1.1950969454073
"495","355-FAO-41-37","Parona leatherjacket","Parona signata","Argentina",0.040722175762787,0.188,39032.9557346255,635.773793606221,11826284.9167561,37,"Miscellaneous pelagic fishes","41","Historic",1.3,2.79647591475078,0.554578730475892,986,993.59553552,"Lumped-Parona leatherjacket-FaoRegion41",1355,0.799963661173614,1.1950969454073,0.799963661173614,1.1950969454073
"496","395-FAO-41-37","Southwest Atlantic butterfish","Stromateus brasiliensis","Argentina",0.0410955975896441,0.188,18897.4606799086,310.626826538597,6969425.684914,37,"Miscellaneous pelagic fishes","41","Historic",1.3,5.56497430595891,0.907076540515569,1568,1666.62523,"Lumped-Southwest Atlantic butterfish-FaoRegion41",1568,0.80759638255553,1.19980764984715,0.80759638255553,1.19980764984715
"497","12150-FAO-81-37","Greenback horse mackerel","Trachurus declivis","Russian Federation",0.03135803507696,0.188,0,0,70992798.2254351,37,"Miscellaneous pelagic fishes","81","Historic",1.3,0.00933392074601728,0.142753582725976,0,353.1318655,"Lumped-Greenback horse mackerel-FaoRegion81",14,NA,NA,NA,NA
"498","15568-FAO-81-37","Greenback horse mackerel","Trachurus declivis","Ukraine",0.03135803507696,0.188,0,0,70992798.2254351,37,"Miscellaneous pelagic fishes","81","Historic",1.3,0.00933392074601728,0.142753582725976,0,353.1318655,"Lumped-Greenback horse mackerel-FaoRegion81",14,NA,NA,NA,NA
"499","15951-FAO-81-37","Greenback horse mackerel","Trachurus declivis","Un. Sov. Soc. Rep.",0.03135803507696,0.188,0,0,70992798.2254351,37,"Miscellaneous pelagic fishes","81","Historic",1.3,0.00933392074601728,0.142753582725976,0,353.1318655,"Lumped-Greenback horse mackerel-FaoRegion81",14,NA,NA,NA,NA
"500","508-FAO-81-37","Greenback horse mackerel","Trachurus declivis","Australia",0.03135803507696,0.188,837698.73403277,10506.9559144479,70992798.2254351,37,"Miscellaneous pelagic fishes","81","Historic",1.3,0.00933392074601728,0.142753582725976,14,353.1318655,"Lumped-Greenback horse mackerel-FaoRegion81",14,0.390796392352913,0.991906726449173,0.390796392352913,0.991906726449173
"501","15480-FAO-81-37","Atlantic pomfret","Brama brama","Ukraine",0.0134521197346566,0.188,0,0,4132758.00898877,37,"Miscellaneous pelagic fishes","81","Historic",1.3,8.86296684021413,0.392406451380092,0,1666.62523,"Lumped-Atlantic pomfret-FaoRegion81",150,NA,NA,NA,NA
"502","9523-FAO-81-37","Atlantic pomfret","Brama brama","New Zealand",0.0134521197346566,0.188,8015.76658433727,43.1296561543488,4132758.00898877,37,"Miscellaneous pelagic fishes","81","Historic",1.3,8.86296684021413,0.392406451380092,150,1666.62523,"Lumped-Atlantic pomfret-FaoRegion81",150,0.134581426348209,0.764687198026618,0.134581426348209,0.764687198026618
"503","15504-FAO-81-37","Blue mackerel","Scomber australasicus","Ukraine",0.109945137437603,0.188,0,0,12762176.5720675,37,"Miscellaneous pelagic fishes","81","Historic",1.3,1.48149780859963,0.860964337818283,0,429.99511742,"Lumped-Blue mackerel-FaoRegion81",10107,NA,NA,NA,NA
"504","6569-FAO-81-37","Blue mackerel","Scomber australasicus","Japan",0.109945137437603,0.188,0,0,12762176.5720675,37,"Miscellaneous pelagic fishes","81","Historic",1.3,1.48149780859963,0.860964337818283,0,429.99511742,"Lumped-Blue mackerel-FaoRegion81",10107,NA,NA,NA,NA
"505","9542-FAO-81-37","Blue mackerel","Scomber australasicus","New Zealand",0.109945137437603,0.188,180185.505968949,7923.84714993712,12762176.5720675,37,"Miscellaneous pelagic fishes","81","Historic",1.3,1.48149780859963,0.860964337818283,10107,429.99511742,"Lumped-Blue mackerel-FaoRegion81",10107,0.808584057221682,1.20689654845293,0.808584057221682,1.20689654845293
"506","710-FAO-81-37","White trevally","Pseudocaranx dentex","Australia",0.0410260644582512,0.188,8140.42571692696,133.581767320889,1806321.25228098,37,"Miscellaneous pelagic fishes","81","Historic",1.3,4.7062667352704,0.481968778147159,303,1301.6101515312,"Lumped-White trevally-FaoRegion81",303,0.851161678145356,1.14195393272785,0.851161678145356,1.14195393272785
"507","719-FAO-81-37","Yellowtail amberjack","Seriola lalandi","Australia",0.0125158624462671,0.188,24957.3690820198,124.939508290779,33288511.6082887,37,"Miscellaneous pelagic fishes","81","Historic",1.3,1.71112504241157,0.252587712676904,54,4219.29247546,"Lumped-Yellowtail amberjack-FaoRegion81",54,0.032621362501939,0.590955166213826,0.032621362501939,0.590955166213826
"508","9625-FAO-81-37","Opah","Lampris guttatus","New Zealand",0.0403993191381034,0.188,3988.19210857301,64.4451627850888,889057.167377866,37,"Miscellaneous pelagic fishes","81","Historic",1.3,2.57158383922241,0.579268910152229,96,1301.6101515312,"Lumped-Opah-FaoRegion81",96,0.856920575862656,1.14297594307069,0.856920575862656,1.14297594307069
"509","12061-FAO-61-37","Capelin","Mallotus villosus","Russian Federation",0.0338328266655223,0.188,216369.438931232,2928.02251557568,19705196.1342096,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.35106400067595,0.385242890491795,1524,388.23273282,"Lumped-Capelin-FaoRegion61",1524,0.750087789727083,1.16404662711674,0.750087789727083,1.16404662711674
"510","15851-FAO-61-37","Capelin","Mallotus villosus","Un. Sov. Soc. Rep.",0.0338328266655223,0.188,0,0,19705196.1342096,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.35106400067595,0.385242890491795,0,388.23273282,"Lumped-Capelin-FaoRegion61",1524,NA,NA,NA,NA
"511","12071-FAO-61-37","Chub mackerel","Scomber japonicus","Russian Federation",0.0368206946505241,0.188,99.5676740168402,1.46639357347101,6632560679.05338,37,"Miscellaneous pelagic fishes","61","Historic",1.3,6.83014785390379,0.299530189329583,3,1239.82641964,"Lumped-Chub mackerel-FaoRegion61",704785,0.710284220302191,1.14831702191711,0.710284220302191,1.14831702191711
"512","14680-FAO-61-37","Chub mackerel","Scomber japonicus","Taiwan Province of China",0.0368206946505241,0.188,2326332.32495413,34261.3082484345,6632560679.05338,37,"Miscellaneous pelagic fishes","61","Historic",1.3,6.83014785390379,0.299530189329583,70093,1239.82641964,"Lumped-Chub mackerel-FaoRegion61",704785,0.710284220302191,1.14831702191711,0.710284220302191,1.14831702191711
"513","15862-FAO-61-37","Chub mackerel","Scomber japonicus","Un. Sov. Soc. Rep.",0.0368206946505241,0.188,0,0,6632560679.05338,37,"Miscellaneous pelagic fishes","61","Historic",1.3,6.83014785390379,0.299530189329583,0,1239.82641964,"Lumped-Chub mackerel-FaoRegion61",704785,NA,NA,NA,NA
"514","1982-FAO-61-37","Chub mackerel","Scomber japonicus","China",0.0368206946505241,0.188,16911436.6748616,249064.99326262,6632560679.05338,37,"Miscellaneous pelagic fishes","61","Historic",1.3,6.83014785390379,0.299530189329583,509546,1239.82641964,"Lumped-Chub mackerel-FaoRegion61",704785,0.710284220302191,1.14831702191711,0.710284220302191,1.14831702191711
"515","7276-FAO-61-37","Chub mackerel","Scomber japonicus","Republic of Korea",0.0368206946505241,0.188,4153399.14316315,61169.6303216275,6632560679.05338,37,"Miscellaneous pelagic fishes","61","Historic",1.3,6.83014785390379,0.299530189329583,125143,1239.82641964,"Lumped-Chub mackerel-FaoRegion61",704785,0.710284220302191,1.14831702191711,0.710284220302191,1.14831702191711
"516","12280-FAO-61-37","Pacific saury","Cololabis saira","Russian Federation",0.0409019174108166,0.188,2501024.50673917,40916.8153347368,4557476724.57365,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.431638499688,1.05133168354894,61585,1098.61669852,"Lumped-Pacific saury-FaoRegion61",460961,0.811699712791315,1.2012242927789,0.811699712791315,1.2012242927789
"517","14780-FAO-61-37","Pacific saury","Cololabis saira","Taiwan Province of China",0.0409019174108166,0.188,6559234.75166794,107309.223219529,4557476724.57365,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.431638499688,1.05133168354894,161514,1098.61669852,"Lumped-Pacific saury-FaoRegion61",460961,0.811699712791315,1.2012242927789,0.811699712791315,1.2012242927789
"518","16101-FAO-61-37","Pacific saury","Cololabis saira","Un. Sov. Soc. Rep.",0.0409019174108166,0.188,0,0,4557476724.57365,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.431638499688,1.05133168354894,0,1098.61669852,"Lumped-Pacific saury-FaoRegion61",460961,NA,NA,NA,NA
"519","6857-FAO-61-37","Pacific saury","Cololabis saira","Japan",0.0409019174108166,0.188,8994104.0433145,147143.737796284,4557476724.57365,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.431638499688,1.05133168354894,221470,1098.61669852,"Lumped-Pacific saury-FaoRegion61",460961,0.811699712791315,1.2012242927789,0.811699712791315,1.2012242927789
"520","7544-FAO-61-37","Pacific saury","Cololabis saira","Republic of Korea",0.0409019174108166,0.188,665694.466419882,10890.7759514006,4557476724.57365,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.431638499688,1.05133168354894,16392,1098.61669852,"Lumped-Pacific saury-FaoRegion61",460961,0.811699712791315,1.2012242927789,0.811699712791315,1.2012242927789
"521","14651-FAO-61-37","Black pomfret","Parastromateus niger","Taiwan Province of China",0.0915777262652958,0.188,91616.1032697793,3355.84490940239,26568497.2094024,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.378072306844207,0.305812319471684,388,1666.62523,"Lumped-Black pomfret-FaoRegion61",388,0.808578939741135,1.20689337232481,0.808578939741135,1.20689337232481
"522","14683-FAO-61-37","Cobia","Rachycentron canadum","Taiwan Province of China",0.104790524641889,0.188,10152.8789959401,425.550822480089,1685762.60764507,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.31829838991421,0.415327573844274,233,993.59553552,"Lumped-Cobia-FaoRegion61",233,0.808583845135945,1.20689663362402,0.808583845135945,1.20689663362402
"523","14684-FAO-61-37","Common dolphinfish","Coryphaena hippurus","Taiwan Province of China",0.10148578786323,0.188,369156.275060363,14984.9635911612,88042744.2300667,37,"Miscellaneous pelagic fishes","61","Historic",1.3,2.18518785196133,0.328478027400855,10756,1413.5484696,"Lumped-Common dolphinfish-FaoRegion61",10756,0.808583298654149,1.20689621410487,0.808583298654149,1.20689621410487
"524","6615-FAO-61-37","Common dolphinfish","Coryphaena hippurus","Japan",0.10148578786323,0.188,0,0,88042744.2300667,37,"Miscellaneous pelagic fishes","61","Historic",1.3,2.18518785196133,0.328478027400855,0,1413.5484696,"Lumped-Common dolphinfish-FaoRegion61",10756,NA,NA,NA,NA
"525","14707-FAO-61-37","Indian scad","Decapterus russelli","Taiwan Province of China",0.099411898668956,0.188,25007.0614667136,994.354490610762,4218275.70492768,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.361971855340315,0.347291352657095,125,993.59553552,"Lumped-Indian scad-FaoRegion61",125,0.808583301728448,1.20689621109213,0.808583301728448,1.20689621109213
"526","14724-FAO-61-37","Japanese jack mackerel","Trachurus japonicus","Taiwan Province of China",0.0306889609527062,0.188,1116549.23944381,13705.6701007173,782501141.196412,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.78782832004771,0.342238427393667,8386,353.1318655,"Lumped-Japanese jack mackerel-FaoRegion61",68901,0.683797216657617,1.13156418495074,0.683797216657617,1.13156418495074
"527","15995-FAO-61-37","Japanese jack mackerel","Trachurus japonicus","Un. Sov. Soc. Rep.",0.0306889609527062,0.188,0,0,782501141.196412,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.78782832004771,0.342238427393667,0,353.1318655,"Lumped-Japanese jack mackerel-FaoRegion61",68901,NA,NA,NA,NA
"528","2008-FAO-61-37","Japanese jack mackerel","Trachurus japonicus","China",0.0306889609527062,0.188,3916709.87082261,48077.7125390889,782501141.196412,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.78782832004771,0.342238427393667,29417,353.1318655,"Lumped-Japanese jack mackerel-FaoRegion61",68901,0.683797216657617,1.13156418495074,0.683797216657617,1.13156418495074
"529","7412-FAO-61-37","Japanese jack mackerel","Trachurus japonicus","Republic of Korea",0.0306889609527062,0.188,4140525.66756779,50825.0570942172,782501141.196412,37,"Miscellaneous pelagic fishes","61","Historic",1.3,1.78782832004771,0.342238427393667,31098,353.1318655,"Lumped-Japanese jack mackerel-FaoRegion61",68901,0.683797216657617,1.13156418495074,0.683797216657617,1.13156418495074
"530","14725-FAO-61-37","Japanese scad","Decapterus maruadsi","Taiwan Province of China",0.0980968898693801,0.188,119597.588081099,4692.64681701853,233313112.339609,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.935849083158672,0.5191718764376,2280,993.59553552,"Lumped-Japanese scad-FaoRegion61",26263,0.808583748446048,1.20689643851752,0.808583748446048,1.20689643851752
"531","6748-FAO-61-37","Japanese scad","Decapterus maruadsi","Japan",0.0980968898693801,0.188,1258030.24339869,49361.2932511207,233313112.339609,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.935849083158672,0.5191718764376,23983,993.59553552,"Lumped-Japanese scad-FaoRegion61",26263,0.808583748446048,1.20689643851752,0.808583748446048,1.20689643851752
"532","14825-FAO-61-37","Silver pomfret","Pampus argenteus","Taiwan Province of China",0.0986976090594172,0.188,170111.062774641,6715.51617129058,48236156.9353765,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.162836737855974,0.34292525875516,375,1666.62523,"Lumped-Silver pomfret-FaoRegion61",375,0.808583153785485,1.20689612479826,0.808583153785485,1.20689612479826
"533","7635-FAO-61-37","Silver pomfret","Pampus argenteus","Republic of Korea",0.0986976090594172,0.188,0,0,48236156.9353765,37,"Miscellaneous pelagic fishes","61","Historic",1.3,0.162836737855974,0.34292525875516,0,1666.62523,"Lumped-Silver pomfret-FaoRegion61",375,NA,NA,NA,NA
"534","14871-FAO-61-37","Torpedo scad","Megalaspis cordyla","Taiwan Province of China",0.099121365265164,0.188,11115.1472766602,440.679355994171,1876587.63133715,37,"Miscellaneous pelagic fishes","61","Historic",1.3,2.52081418479609,0.358277497435061,398,993.59553552,"Lumped-Torpedo scad-FaoRegion61",398,0.80858277772194,1.20689597060987,0.80858277772194,1.20689597060987
"535","14963-FAO-57-37","Bigeye scad","Selar crumenophthalmus","Thailand",0.11167765756621,0.188,114770.0059429,5126.66464554718,35432709.300619,37,"Miscellaneous pelagic fishes","57","Historic",1.3,0.5989081841515,1.6320341626259,5011,993.59553552,"Lumped-Bigeye scad-FaoRegion57",9497,0.808584058846764,1.20689655689808,0.808584058846764,1.20689655689808
"536","5577-FAO-57-37","Bigeye scad","Selar crumenophthalmus","Indonesia",0.11167765756621,0.188,102745.608992188,4589.5465176461,35432709.300619,37,"Miscellaneous pelagic fishes","57","Historic",1.3,0.5989081841515,1.6320341626259,4486,993.59553552,"Lumped-Bigeye scad-FaoRegion57",9497,0.808584058846764,1.20689655689808,0.808584058846764,1.20689655689808
"537","14973-FAO-57-37","Black pomfret","Parastromateus niger","Thailand",0.11227472146426,0.188,4953.73182769368,222.461411178517,51324332.8190946,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.65190612673039,0.906158527436317,333,1666.62523,"Lumped-Black pomfret-FaoRegion57",12647,0.808584056084698,1.20689655567065,0.808584056084698,1.20689655567065
"538","5585-FAO-57-37","Black pomfret","Parastromateus niger","Indonesia",0.11227472146426,0.188,164321.086392506,7379.30554918288,51324332.8190946,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.65190612673039,0.906158527436317,11046,1666.62523,"Lumped-Black pomfret-FaoRegion57",12647,0.808584056084698,1.20689655567065,0.808584056084698,1.20689655567065
"539","8363-FAO-57-37","Black pomfret","Parastromateus niger","Malaysia",0.11227472146426,0.188,18862.858731278,847.0902984215,51324332.8190946,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.65190612673039,0.906158527436317,1268,1666.62523,"Lumped-Black pomfret-FaoRegion57",12647,0.808584056084698,1.20689655567065,0.808584056084698,1.20689655567065
"540","14975-FAO-57-37","Blackbanded trevally","Seriolina nigrofasciata","Thailand",0.0400328596146529,0.188,43526.8722221826,696.970318525544,9645756.33905376,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.43379763921846,0.434297755710764,434,993.59553552,"Lumped-Blackbanded trevally-FaoRegion57",434,0.792485040208155,1.18947139325119,0.792485040208155,1.18947139325119
"541","15000-FAO-57-37","False trevally","Lactarius lactarius","Thailand",0.111573479951845,0.188,0,0,14217920.0739401,37,"Miscellaneous pelagic fishes","57","Historic",1.3,2.22836105510281,0.966077943169248,0,993.59553552,"Lumped-False trevally-FaoRegion57",8383,NA,NA,NA,NA
"542","5480-FAO-57-37","False trevally","Lactarius lactarius","India",0.111573479951845,0.188,20952.9347374661,935.074144205956,14217920.0739401,37,"Miscellaneous pelagic fishes","57","Historic",1.3,2.22836105510281,0.966077943169248,2013,993.59553552,"Lumped-False trevally-FaoRegion57",8383,0.808584053777795,1.20689655814462,0.808584053777795,1.20689655814462
"543","5620-FAO-57-37","False trevally","Lactarius lactarius","Indonesia",0.111573479951845,0.188,66304.1203565123,2958.97779363733,14217920.0739401,37,"Miscellaneous pelagic fishes","57","Historic",1.3,2.22836105510281,0.966077943169248,6370,993.59553552,"Lumped-False trevally-FaoRegion57",8383,0.808584053777795,1.20689655814462,0.808584053777795,1.20689655814462
"544","8393-FAO-57-37","False trevally","Lactarius lactarius","Malaysia",0.111573479951845,0.188,0,0,14217920.0739401,37,"Miscellaneous pelagic fishes","57","Historic",1.3,2.22836105510281,0.966077943169248,0,993.59553552,"Lumped-False trevally-FaoRegion57",8383,0.808584053777795,1.20689655814462,0.808584053777795,1.20689655814462
"545","15018-FAO-57-37","Indian mackerel","Rastrelliger kanagurta","Thailand",0.113490633206554,0.188,364460.546561036,16544.3896736609,95220563.7039915,37,"Miscellaneous pelagic fishes","57","Historic",1.3,0.927145752192976,1.48170742524588,22728,548.53890764,"Lumped-Indian mackerel-FaoRegion57",66348,0.808583567444452,1.20689712936869,0.808583567444452,1.20689712936869
"546","5498-FAO-57-37","Indian mackerel","Rastrelliger kanagurta","India",0.113490633206554,0.188,634791.235311737,28815.831116752,95220563.7039915,37,"Miscellaneous pelagic fishes","57","Historic",1.3,0.927145752192976,1.48170742524588,39586,548.53890764,"Lumped-Indian mackerel-FaoRegion57",66348,0.808583567444452,1.20689712936869,0.808583567444452,1.20689712936869
"547","5666-FAO-57-37","Indian mackerel","Rastrelliger kanagurta","Indonesia",0.113490633206554,0.188,64688.2191493848,2936.46902250739,95220563.7039915,37,"Miscellaneous pelagic fishes","57","Historic",1.3,0.927145752192976,1.48170742524588,4034,548.53890764,"Lumped-Indian mackerel-FaoRegion57",66348,0.808583567444452,1.20689712936869,0.808583567444452,1.20689712936869
"548","15022-FAO-57-37","Indian scad","Decapterus russelli","Thailand",0.110125970424062,0.188,293290.384062108,12918.9667955801,123269880.934531,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.40081192166366,0.802838355337,14529,993.59553552,"Lumped-Indian scad-FaoRegion57",37330,0.808584051259805,1.20689655347574,0.808584051259805,1.20689655347574
"549","8414-FAO-57-37","Indian scad","Decapterus russelli","Malaysia",0.110125970424062,0.188,460273.525156593,20274.3039373682,123269880.934531,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.40081192166366,0.802838355337,22801,993.59553552,"Lumped-Indian scad-FaoRegion57",37330,0.808584051259805,1.20689655347574,0.808584051259805,1.20689655347574
"550","15074-FAO-57-37","Silver pomfret","Pampus argenteus","Thailand",0.106254609048697,0.188,4225.91341318848,179.60093007768,61606003.4189179,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.71129215794787,1.22661595289314,377,1666.62523,"Lumped-Silver pomfret-FaoRegion57",19816,0.808583558774428,1.2068971393133,0.808583558774428,1.2068971393133
"551","5740-FAO-57-37","Silver pomfret","Pampus argenteus","Indonesia",0.106254609048697,0.188,194504.110200654,8266.40673397321,61606003.4189179,37,"Miscellaneous pelagic fishes","57","Historic",1.3,1.71129215794787,1.22661595289314,17352,1666.62523,"Lumped-Silver pomfret-FaoRegion57",19816,0.808583558774428,1.2068971393133,0.808583558774428,1.2068971393133
