dbase,idorig,idoriglumped,commname,sciname,country,speciescat,speciescatname,regionfao,k,fvfmsy,g,beta,phi,price,eqfvfmey,fmeyvfmsy,curr_f,f_mey,pctredfmsy,pctredfmey,fconmsy,fconmey,pctredfmsycon,pctredfmeycon,marginalcost
FAO,5846-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,Talang queenfish,Scomberoides commersonnianus,Iran,37,Miscellaneous pelagic fishes,51,310005.318,2.673,0.041,1.3,0.188,993.596,3.28759592118734,0.81290873764424,0.10959300000000001,0.03332925824341384,62.58885147774036,69.58263655349583,0.041,0.03332925824341384,62.58885147774037,69.58815048094876,67848691.7928834
FAO,790-FAO-51-37,Lumped-Talang queenfish-FaoRegion51,Talang queenfish,Scomberoides commersonnianus,Bahrain,37,Miscellaneous pelagic fishes,51,726.64,2.673,0.041,1.3,0.188,993.596,3.28759592118734,0.81290873764424,0.10959300000000001,0.03332925824341384,62.58885147774036,69.58263655349583,0.041,0.03332925824341384,62.58885147774037,69.58815048094876,159034.6053495407
FAO,12832-FAO-51-37,Lumped-Yellowspotted trevally-FaoRegion51,Yellowspotted trevally,Carangoides fulvoguttatus,Saudi Arabia,37,Miscellaneous pelagic fishes,51,3328.677,5.089,0.042,1.3,0.188,993.596,6.26128282099572,0.812754085706205,0.21373800000000004,0.03413567159966061,80.34977402240126,84.02883197279097,0.042,0.03413567159966061,80.34977402240126,84.02919855165642,724003.5190370083
FAO,12834-FAO-51-37,Lumped-Yellowtail scad-FaoRegion51,Yellowtail scad,Atule mate,Saudi Arabia,37,Miscellaneous pelagic fishes,51,25388.482,3.264,0.042,1.3,0.188,993.596,4.01496235164919,0.812984749208193,0.137088,0.03414535946674411,69.36274509803921,75.0931662014405,0.042,0.03414535946674411,69.36274509803921,75.09237900710193,5513849.157480121
FAO,13308-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,Chub mackerel,Scomber japonicus,South Africa,37,Miscellaneous pelagic fishes,51,0,5.986,0.037,1.3,0.188,1239.826,7.33999499762108,0.815512480002759,0.22148199999999998,0.03017396176010208,83.29435349148012,86.37601251330412,0.037,0.03017396176010208,83.29435349148012,86.37633678578752,NA
FAO,3200-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,Chub mackerel,Scomber japonicus,Egypt,37,Miscellaneous pelagic fishes,51,36027.063,5.986,0.037,1.3,0.188,1239.826,7.33999499762108,0.815512480002759,0.22148199999999998,0.03017396176010208,83.29435349148012,86.37601251330412,0.037,0.03017396176010208,83.29435349148012,86.37633678578752,9975538.898472428
FAO,7274-FAO-51-37,Lumped-Chub mackerel-FaoRegion51,Chub mackerel,Scomber japonicus,Republic of Korea,37,Miscellaneous pelagic fishes,51,0,5.986,0.037,1.3,0.188,1239.826,7.33999499762108,0.815512480002759,0.22148199999999998,0.03017396176010208,83.29435349148012,86.37601251330412,0.037,0.03017396176010208,83.29435349148012,86.37633678578752,NA
FAO,5815-FAO-51-37,Lumped-Indian pompano-FaoRegion51,Indian pompano,Trachinotus mookalee,Iran,37,Miscellaneous pelagic fishes,51,6330.644,6.423,0.04,1.3,0.188,993.596,7.91770673581335,0.81118007350018,0.25692,0.0324472029400072,84.43095126887748,87.37008033554964,0.04,0.0324472029400072,84.43095126887748,87.37069790596014,1411555.1890087128
FAO,1015-FAO-34-37,Lumped-African moonfish-FaoRegion34,African moonfish,Selene dorsalis,Benin,37,Miscellaneous pelagic fishes,34,0,2.307,0.092,1.3,0.188,993.596,2.85353976845752,0.80858405998893,0.212244,0.07438973351898157,56.653662765496314,64.95580643193384,0.092,0.07438973351898157,56.653662765496314,64.95084265327567,NA
FAO,11950-FAO-34-37,Lumped-African moonfish-FaoRegion34,African moonfish,Selene dorsalis,Russian Federation,37,Miscellaneous pelagic fishes,34,8741.759,2.307,0.092,1.3,0.188,993.596,2.85353976845752,0.80858405998893,0.212244,0.07438973351898157,56.653662765496314,64.95580643193384,0.092,0.07438973351898157,56.653662765496314,64.95084265327567,1543697.6388692856
FAO,12835-FAO-34-37,Lumped-African moonfish-FaoRegion34,African moonfish,Selene dorsalis,Senegal,37,Miscellaneous pelagic fishes,34,10072.809,2.307,0.092,1.3,0.188,993.596,2.85353976845752,0.80858405998893,0.212244,0.07438973351898157,56.653662765496314,64.95580643193384,0.092,0.07438973351898157,56.653662765496314,64.95084265327567,1778746.2992383242
