species,grp,clade,region,pctredbpt,key,q025,q50,q975,silhouette,delta_mean,delta_q025,delta_q975,fe_mean,fe_q025,fe_q975,deltaN_mean,deltaN_q025,deltaN_q975,sensrange_type,redlist,type_short,type_description
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pcostmey,0,12.08020069336736,50.90172905753006,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmey,11.468769116545808,31.59183188920087,47.395078151926285,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,pctredmsy,-27.734299235774134,2.5395121072815483,25.811028649554352,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
Narrow-ridged finless porpoise,mammal,cetacean,NW Pacific,64.19753086,ycostmsy,1.660659869739781,27.015881916574187,61.992984352888335,porpoise,-0.078,-0.14,-0.015,0.1215,NA,NA,0.0435,0.015,0.072,6,EN,"Delta uniform, Delta_n normal","Bounds on delta and deltan, where deltan represents a 95% CI from a normal (+/-1.96s.e.), and delta are bounds from a uniform"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pcostmey,28.760235374217284,50.746329393674344,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmey,-162.64918541732285,-135.25467423958742,-104.53832960503308,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,pctredmsy,-255.3566242134851,-218.32383336624812,-176.33043424816944,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
New Zealand sea lion,mammal,pinniped,New Zealand,34.32835821,ycostmsy,43.59356671365349,63.21319792467905,100,pinniped,-0.023,-0.0485,0.0025,0.067,0.012,0.122,0.044,NA,NA,4,CR,"Delta normal, Fe normal","Bounds on delta and Fe, where both represent 95% Cis that we assume come from normal distributions (so the s.d. is the difference between high or low and the pt estimate divided by 1.96)"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pcostmey,0,0,100,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
Olive ridley turtle (NE Indian),turtle,turtle,NE Indian Ocean,38.46153846,pctredmey,60.29695064204442,62.8757270192735,65.28337778278413,turtle,-0.03,-0.138,0.078,0.078,NA,NA,0.048,-0.03,0.126,1,VU,"Delta normal, Delta_n uniform","Bounds on delta and deltan, where delta represents a 95% CI from a normal (+/-1.96s.e.), and deltan are bounds from a uniform"
