species,grp,clade,region,pctredbpt,pctredbl,pctredbu,key,q025,q50,q975,silhouette,lambda,delta,fe,redlist
Tristan albatross,bird,bird,S Atlantic,90.6,54.4,151,pctredmey,26.374122352952433,29.996594135551728,33.5491914401708,bird,0.971,-0.029,0.032,CR
Tristan albatross,bird,bird,S Atlantic,90.6,54.4,151,pctredmsy,-4.900114949741703,0.0032693895223036007,5.051134109149338,bird,0.971,-0.029,0.032,CR
Tristan albatross,bird,bird,S Atlantic,90.6,54.4,151,ycostmsy,70.4307300171671,72.3551979474944,74.18025768903556,bird,0.971,-0.029,0.032,CR
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,89.5,53.7,149.1,pcostmey,83.38855139212235,84.07685412769501,84.74276496226024,porpoise,0.66,-0.34,0.38,CR
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,89.5,53.7,149.1,pctredmey,-29.44953705561007,-27.585169288972253,-26.719667136521302,porpoise,0.66,-0.34,0.38,CR
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,89.5,53.7,149.1,pctredmsy,-37.235335392916575,-34.64547532501862,-33.56824439081739,porpoise,0.66,-0.34,0.38,CR
Vaquita porpoise,mammal,cetacean,Gulf of California - Mexico,89.5,53.7,149.1,ycostmsy,8.127396933629678,9.726406266584782,12.114650303391196,porpoise,0.66,-0.34,0.38,CR
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pcostmey,0,0,0,bird,0.964,-0.036,0.13,VU
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pctredmey,36.062928969707315,41.3096493232718,45.59974903766766,bird,0.964,-0.036,0.13,VU
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,pctredmsy,15.382676117130494,21.726363771981575,27.10626524535086,bird,0.964,-0.036,0.13,VU
White-chinned petrel,bird,bird,"S Pacific, S Atlantic, S Indian, S Ocean",27.7,16.6,46.1,ycostmsy,0.004864403661425522,0.2228820244803585,0.9437546311852907,bird,0.964,-0.036,0.13,VU
